
a,a,RO44ItSchool11803,0
b,b,RO44ItSchool11813,0
c,c,RO44ItSchool11826,0
d,d,RO44ItSchool11835,0
e,e,RO44ItSchool11852,0
f,f,RO44ItSchool11862,0
g,g,RO44ItSchool11871,0
r,r,RO44ItSchool11982,0
sdf,sdf,RO44ItSchool12025,0
dfg,dfgf,RO44ItSchool12038,0
adfg,zdfg,RO44ItSchool12048,0
ctgdr,dg,RO44ItSchool12064,0
zdftd,dfgd,RO44ItSchool12077,0
ertg,zdrg,RO44ItSchool12097,0
zdgzvsz,zsdgdg,RO44ItSchool12119,0
zdfgf,cvb,RO44ItSchool12142,0
zdfgdf,gzdg,RO44ItSchool12159,0
gzsddr,zdrter,RO44ItSchool12175,0
zdfg,zdfg,RO44ItSchool12198,0
dfg,zxdf,RO44ItSchool12743,0
dxg,xdgfsdg,RO44ItSchool12760,0
zdgdz,drte,RO44ItSchool12789,0
gdrgdx,zdgr,RO44ItSchool12802,0
zdgdz,bcb,RO44ItSchool12831,0
trgxdgdx,szgdzgdf,RO44ItSchool12851,0
xcbdxfbdxb,dbdfbdb,RO44ItSchool12871,0
zdbzdfb,drtg,RO44ItSchool12893,0
xdgtdf,zsdgszrdg,RO44ItSchool12910,0
geter,zsetse,RO44ItSchool12926,0
zdgdfr,zseggzdrg,RO44ItSchool12946,0
zdgdzfg,zdfgdzr,RO44ItSchool12962,0
zdgdzgd,zdgdzfgxvb,RO44ItSchool12975,0
